run #,datetime,avg_loss,avg_loss_change,total_loss,cost_loss,structure_reg,pred_cost,true_cost,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12
25,2025-08-06 17:18:12,95752184.4013,-3526846.3084,11107936.0000,11107873.0000,670.0916,62733.3594,59400.5135,9.9110,3.1041,98.9030,-0.6271,132.1730,4.6537,0.5220,0.9166,89.0395,177.3051,0.5590,0.9045,0.4952
26,2025-08-06 17:18:13,92831897.3858,-2920287.0154,19824782.0000,19824722.0000,674.1050,62798.4258,58345.9289,10.8311,3.0603,92.7630,-3.7761,140.3126,4.1444,0.4854,0.8980,87.0662,181.4935,0.7138,0.9037,0.5013
27,2025-08-06 17:18:15,91118597.0382,-1713300.3476,46572844.0000,46572788.0000,511.0030,62692.8867,69517.3098,10.6872,2.9269,-92.8306,-4.1190,138.1545,4.7252,0.5057,1.0852,90.1578,182.2842,0.7012,0.9032,0.5130
28,2025-08-06 17:18:16,87872647.5569,-3245949.4813,232071.2500,232011.5625,623.2646,62797.3125,62315.6378,10.4462,3.0467,82.3025,-2.1265,125.8149,5.9609,0.4984,0.7968,92.9006,184.7343,0.6777,0.9004,0.5083
29,2025-08-06 17:18:17,85259316.6756,-2613330.8813,12086111.0000,12086052.0000,687.5848,63000.0469,66476.5487,11.0310,3.0351,100.7723,1.6898,139.3012,6.3442,0.4991,1.1232,89.2477,179.1781,0.6343,0.8991,0.5004
30,2025-08-06 17:18:19,85029440.2531,-229876.4225,78363080.0000,78363024.0000,521.2350,63511.0938,72363.3856,11.3517,3.0413,-101.6685,-5.9586,136.0730,4.5775,0.4949,1.0306,92.1277,182.2857,0.5958,0.9261,0.4987
31,2025-08-06 17:18:20,85430456.2450,401015.9918,97460992.0000,97460936.0000,661.1379,64371.5625,54499.3337,10.0069,3.0276,97.8277,3.5744,127.9883,4.8785,0.4995,0.9400,92.6733,183.0450,0.7801,0.8954,0.4901
32,2025-08-06 17:18:21,83220649.2998,-2209806.9452,14716689.0000,14716634.0000,512.1637,64547.1953,68383.4195,9.5728,2.8887,-94.6339,1.8354,137.1734,4.4066,0.4914,0.9504,87.8842,180.2452,0.7168,0.8838,0.5118
33,2025-08-06 17:18:23,80714909.6752,-2505739.6246,531295.8750,531241.6875,493.6340,64895.1758,65624.0396,10.1740,3.1062,-85.3864,4.0900,127.8372,5.9679,0.4833,0.9435,93.2015,184.0219,0.6775,0.8924,0.5034
34,2025-08-06 17:18:24,79538622.5671,-1176287.1081,40721204.0000,40721148.0000,622.3302,64922.8867,58541.5751,9.8870,2.8408,94.8957,2.8037,131.6791,5.6300,0.4974,0.8187,86.4921,174.7979,0.7132,0.9067,0.4909
35,2025-08-06 17:18:25,80055920.2080,517297.6409,97644096.0000,97644040.0000,510.6973,64992.6250,74874.1230,10.1068,2.9746,-90.6225,7.9235,135.3129,5.6638,0.5024,1.1074,86.2200,181.0380,0.6355,0.9201,0.4983
36,2025-08-06 17:18:27,79476464.9800,-579455.2280,59195588.0000,59195532.0000,632.0452,65751.8594,58057.9976,9.1609,2.9838,82.1850,-0.7883,140.4137,4.7903,0.4860,1.0251,88.1645,182.3620,0.6397,0.9038,0.4992
