Model,Training Samples,Final Cost Loss,Final Relative Error,Final Accuracy < 1%,Final Accuracy < 5%,Final Accuracy < 10%,Mean Relative Error,Median Relative Error,Std Relative Error,R² Score,Convergence Stability
Base Model 1,"180,000",0.019271,0.0193,36.2%,93.4%,99.7%,0.0193,0.0144,0.0171,0.9505,0.000522
Base Model 2,"180,000",0.020011,0.0200,37.3%,92.7%,99.7%,0.0200,0.0148,0.0182,0.9439,0.000463
Mutant Model 1,"180,000",0.019114,0.0191,39.3%,93.2%,99.8%,0.0191,0.0137,0.0175,0.9484,0.000690
Mutant Model 2,"180,000",0.020124,0.0201,36.3%,93.0%,99.8%,0.0201,0.0149,0.0176,0.9500,0.000330
