Model,Training Samples,Final Cost Loss,Final Relative Error,Final Accuracy < 1%,Final Accuracy < 5%,Final Accuracy < 10%,Mean Relative Error,Median Relative Error,Std Relative Error,R² Score,Convergence Stability
benchmark1_batch_surrogate_model.pt,"480,000",0.007727,0.0077,74.3%,99.7%,100.0%,0.0077,0.0054,0.0079,0.9911,0.000223
benchmark2_online_surrogate_model.pt,"480,000",0.008848,0.0088,67.4%,99.7%,100.0%,0.0088,0.0066,0.0083,0.9887,0.000162
surrogate_model.pt,"480,000",0.008081,0.0081,71.8%,99.7%,100.0%,0.0081,0.0057,0.0081,0.9896,0.000254
