run #,datetime,avg_loss,avg_loss_change,total_loss,cost_loss,structure_reg,pred_cost,true_cost,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12
1,2025-08-05 17:14:16,1220221568.0000,0.0000,1220221696.0000,1220221568.0000,139.3826,10000.0000,51751.3339,8.5877,3.1347,98.2022,7.2185,135.6264,4.0599,0.5306,0.8877,90.1743,181.8537,0.6965,0.9269,0.5024
2,2025-08-05 17:14:17,1886930112.0000,666708544.0000,2553638656.0000,2553638656.0000,100.3090,10000.0000,70399.1303,10.9969,2.9193,-87.2980,2.2753,130.4567,4.0129,0.5023,1.0278,90.0138,181.3599,0.6234,0.9128,0.5150
3,2025-08-05 17:14:19,1788220586.6667,-98709525.3333,1590801664.0000,1590801536.0000,100.4674,10000.0000,57671.5194,11.3553,3.0314,90.5805,5.1622,132.8471,4.9768,0.5209,0.9804,87.3516,179.5451,0.7551,0.9013,0.5251
4,2025-08-05 17:14:20,1768673280.0000,-19547306.6667,1710031488.0000,1710031360.0000,85.3264,10000.0000,59425.7216,8.9230,3.1808,-96.9929,-2.4543,142.6771,4.7130,0.5039,1.0676,88.7785,180.4436,0.6705,0.8870,0.5061
5,2025-08-05 17:14:21,1788357043.2000,19683763.2000,1867092224.0000,1867092096.0000,73.5889,10000.0000,61645.6633,10.5236,3.0207,89.2071,-6.3258,137.3281,3.2870,0.4893,1.0711,88.9663,177.7066,0.7115,0.8794,0.4837
6,2025-08-05 17:14:23,1792628202.6667,4271159.4667,1813984000.0000,1813984000.0000,58.4528,10000.0000,60905.8514,11.3432,3.1799,-97.0754,-5.0371,131.0161,4.8886,0.4925,1.0962,89.4423,173.3987,0.7011,0.8985,0.4889
7,2025-08-05 17:14:24,1739305014.8571,-53323187.8095,1419365888.0000,1419365888.0000,55.3469,10000.0000,55029.6096,9.6567,3.1062,62.9153,0.3384,138.4530,4.3487,0.5125,0.9308,90.6935,182.3433,0.6352,0.8999,0.4982
8,2025-08-05 17:14:25,1858345200.0000,119040185.1429,2691626496.0000,2691626496.0000,46.7825,10000.0000,72009.5212,9.4102,2.9082,-92.1757,-0.2669,130.2011,5.5279,0.5024,1.1188,91.4845,181.2629,0.7504,0.8923,0.4891
9,2025-08-05 17:14:27,1979621418.6667,121276218.6667,2949831168.0000,2949831168.0000,42.9261,10000.0000,74915.6724,9.7290,2.8486,-99.6827,2.2405,134.3824,5.5921,0.4982,1.0478,90.4002,180.1556,0.7494,0.9100,0.5066
10,2025-08-05 17:14:28,2156395328.0000,176773909.3333,3747360512.0000,3747360512.0000,37.4558,10000.0000,83166.7428,9.1588,3.0771,-90.7959,-2.0021,137.5028,7.1017,0.4794,0.9434,91.3201,179.1361,0.6295,0.8882,0.4915
11,2025-08-05 17:14:29,2163355636.3636,6960308.3636,2232958720.0000,2232958720.0000,32.7299,10000.0000,66479.5608,10.2550,3.0858,-103.4129,1.8030,135.7185,4.0236,0.5074,1.1441,90.8454,176.2982,0.6551,0.9161,0.4844
12,2025-08-05 17:14:31,2101389002.6667,-61966633.6970,1419756032.0000,1419756032.0000,30.7251,10000.0000,55035.7972,9.4436,2.8833,115.9226,4.3819,134.7233,4.0132,0.4997,1.1257,91.3308,180.9195,0.7740,0.9056,0.4967
13,2025-08-05 17:14:32,2100175300.9231,-1213701.7436,2085610880.0000,2085610880.0000,25.1951,10000.0000,64584.2838,11.1564,3.1894,100.8819,0.9734,137.8202,6.8189,0.5048,0.8496,97.8965,176.8831,0.7014,0.9026,0.4879
14,2025-08-05 17:14:33,2059221979.4286,-40953321.4945,1526828800.0000,1526828800.0000,20.5650,10000.0000,56703.1479,10.3699,3.0180,84.3331,-2.8471,138.9394,4.0747,0.4877,1.0296,90.7961,177.3249,0.6872,0.8945,0.4956
15,2025-08-05 17:14:35,2016806741.3333,-42415238.0952,1422993408.0000,1422993408.0000,18.5096,10000.0000,55087.1131,10.1470,3.0193,93.6256,6.6680,136.2279,4.5967,0.4748,1.0593,90.7602,177.8845,0.7380,0.8957,0.4838
16,2025-08-05 17:14:36,1973527360.0000,-43279381.3333,1324336640.0000,1324336640.0000,16.0013,10000.0000,53496.0858,9.5266,2.9882,91.2701,1.9743,142.7251,4.3001,0.4996,0.9986,84.6209,180.4197,0.7183,0.8995,0.5071
17,2025-08-05 17:14:37,1963396216.4706,-10131143.5294,1801297920.0000,1801297920.0000,13.9801,10000.0000,60727.5340,11.4555,3.0744,90.8579,0.0668,134.2140,5.6522,0.4938,1.0232,95.2567,182.2690,0.7677,0.9051,0.4950
18,2025-08-05 17:14:39,1967477297.7778,4081081.3072,2036855680.0000,2036855680.0000,12.1958,10000.0000,63942.5030,9.5919,3.0738,-78.4997,1.2467,135.7395,4.1562,0.5065,0.8162,92.7342,180.0581,0.6934,0.9101,0.5040
19,2025-08-05 17:14:40,2003394122.1053,35916824.3275,2649896960.0000,2649896960.0000,9.9100,10000.0000,71526.9625,7.7449,3.1374,-85.8122,-0.3939,125.7905,6.5082,0.4948,1.2223,95.7657,178.4367,0.6741,0.8942,0.5121
20,2025-08-05 17:14:41,1988196755.2000,-15197366.9053,1699446784.0000,1699446784.0000,7.9354,10000.0000,59272.5189,9.8316,3.0851,75.0296,-2.3195,122.6244,5.7345,0.5030,0.7961,93.6110,175.0049,0.6910,0.8975,0.4980
21,2025-08-05 17:14:43,2006809862.0952,18613106.8952,2379072000.0000,2379072000.0000,8.2152,10000.0000,68298.1468,10.5738,2.9852,-102.8546,4.2156,132.3403,4.9663,0.4995,1.0486,90.8266,181.3198,0.7145,0.9142,0.5020
22,2025-08-05 17:14:44,2020632360.7273,13822498.6320,2310904832.0000,2310904832.0000,7.0325,10000.0000,67456.8731,9.8773,2.9900,-111.3670,2.5847,132.2428,4.9116,0.4897,1.0041,90.8890,175.4784,0.7332,0.8979,0.4933
23,2025-08-05 17:14:46,2011774853.5652,-8857507.1621,1816909696.0000,1816909696.0000,5.3819,10000.0000,60946.8848,11.0598,2.9607,90.0778,3.9248,137.1308,4.5923,0.4964,0.9794,92.1807,175.7366,0.5881,0.8991,0.4993
24,2025-08-05 17:14:47,2030657120.0000,18882266.4348,2464949248.0000,2464949248.0000,5.0076,10000.0000,69341.0175,9.7718,2.9881,-78.5352,-3.0978,137.1432,5.3340,0.4941,1.1382,90.4464,177.6149,0.7691,0.9136,0.5100
25,2025-08-05 17:14:48,2007569454.0800,-23087665.9200,1453465472.0000,1453465472.0000,3.8957,10000.0000,55567.3049,9.9954,3.0057,73.0507,-4.1134,138.1435,4.9637,0.5033,1.1230,90.6730,180.5852,0.7525,0.9035,0.5056
26,2025-08-05 17:14:50,2031046188.3077,23476734.2277,2617964544.0000,2617964544.0000,3.7492,10000.0000,71155.1234,11.3331,2.9225,-81.0402,-1.0584,133.2979,3.4383,0.5044,0.8974,89.9605,183.0937,0.6316,0.8997,0.5025
27,2025-08-05 17:14:51,2015521806.2222,-15524382.0855,1611887872.0000,1611887872.0000,2.7503,10000.0000,57986.4267,10.6953,2.9625,79.9636,-11.5313,137.3164,4.2247,0.5045,0.8484,87.5250,179.8627,0.6267,0.8799,0.4895
28,2025-08-05 17:14:52,2034923634.2857,19401828.0635,2558772992.0000,2558772992.0000,2.7327,10000.0000,70459.8192,11.4400,2.8384,-81.7415,-0.6644,133.1153,4.5504,0.4928,0.9631,93.4422,178.7434,0.6932,0.9094,0.4970
29,2025-08-05 17:14:54,2033152379.5862,-1771254.6995,1983557248.0000,1983557248.0000,2.5348,10000.0000,63232.0702,8.6238,3.0517,-92.0875,-1.7723,143.2485,3.9463,0.4998,0.9085,90.2481,179.3712,0.6867,0.9101,0.4924
30,2025-08-05 17:14:55,2028140309.3333,-5012070.2529,1882790272.0000,1882790272.0000,1.7219,10000.0000,61862.3215,9.7877,3.0022,66.5201,4.2023,138.3139,5.6402,0.4961,1.3080,91.7876,175.6953,0.6368,0.8994,0.4963
31,2025-08-05 17:14:57,2056561065.2903,28420755.9570,2909183744.0000,2909183744.0000,1.7977,10000.0000,74466.8641,11.8367,2.9862,-85.3773,2.7094,137.2860,6.1688,0.4989,1.1339,93.4311,180.7576,0.7621,0.8975,0.4985
32,2025-08-05 17:14:58,2064711820.0000,8150754.7097,2317385216.0000,2317385216.0000,1.4655,10000.0000,67537.3855,11.1275,3.0115,-84.1479,4.2583,130.6944,4.3586,0.5015,1.0354,93.3197,179.6449,0.7071,0.8881,0.5002
33,2025-08-05 17:14:59,2074766696.7273,10054876.7273,2396522752.0000,2396522752.0000,1.2640,10000.0000,68511.5705,9.6640,2.9505,-99.6166,-1.6645,131.4377,4.7709,0.5066,0.9026,86.0784,178.8306,0.7943,0.9139,0.4931
34,2025-08-05 17:15:01,2066184436.7059,-8582260.0214,1782969856.0000,1782969856.0000,0.9317,10000.0000,60468.8022,8.8373,2.8379,80.7572,0.8038,133.5990,5.0253,0.4910,0.8811,96.9034,178.2475,0.8236,0.8947,0.4947
35,2025-08-05 17:15:02,2074701147.4286,8516710.7227,2364269312.0000,2364269312.0000,0.8866,10000.0000,68116.5014,10.1286,2.8758,-92.7898,1.8860,122.5609,3.5687,0.4975,0.9542,89.9200,182.6025,0.7074,0.9100,0.4755
36,2025-08-05 17:15:03,2101708192.0000,27007044.5714,3046954752.0000,3046954752.0000,0.7877,10000.0000,75975.6984,9.2775,3.0422,-103.9641,-7.1775,129.3312,6.1067,0.4736,0.9716,92.2776,178.6895,0.6173,0.8973,0.4982
37,2025-08-05 17:15:05,2096639982.7027,-5068209.2973,1914184448.0000,1914184448.0000,0.7285,10000.0000,62292.9168,10.0753,3.2252,-89.7080,2.3405,146.5367,4.4306,0.5079,1.0104,84.4349,181.6386,0.6404,0.8993,0.5092
38,2025-08-05 17:15:06,2096861719.5789,221736.8762,2105065984.0000,2105065984.0000,0.5097,10000.0000,64838.2802,9.6050,3.2825,93.0232,0.0453,129.7452,6.4896,0.5070,1.1766,96.8706,178.9977,0.7640,0.9047,0.4950
39,2025-08-05 17:15:07,2112294770.8718,15433051.2928,2698750720.0000,2698750720.0000,0.5149,10000.0000,72091.5306,10.8177,3.0034,-101.0724,3.1151,132.1566,5.4584,0.5074,1.1614,98.4576,183.7427,0.6550,0.9072,0.5029
40,2025-08-05 17:15:09,2117748220.8000,5453449.9282,2330432768.0000,2330432768.0000,0.4174,10000.0000,67699.1358,8.7313,2.9425,-83.1265,-0.0722,136.2390,4.7392,0.4873,0.7400,89.7221,178.7276,0.6752,0.9021,0.4946
41,2025-08-05 17:15:10,2129232936.5854,11484715.7854,2588621568.0000,2588621568.0000,0.3557,10000.0000,70811.4358,9.0026,3.0355,-82.3852,5.4400,134.0457,5.8654,0.4897,0.8501,88.1021,181.1453,0.8050,0.8921,0.4967
42,2025-08-05 17:15:11,2120052309.3333,-9180627.2520,1743646592.0000,1743646592.0000,0.2652,10000.0000,59909.1577,8.4575,2.9640,79.5029,-4.5788,132.5305,2.9280,0.5061,0.9956,94.3073,176.8113,0.6819,0.9096,0.5086
43,2025-08-05 17:15:13,2135898385.8605,15846076.5271,2801433600.0000,2801433600.0000,0.2573,10000.0000,73261.7388,7.8871,3.2144,-106.8694,1.8399,130.9682,6.9936,0.4973,1.1963,88.1349,179.2196,0.7336,0.8902,0.4776
44,2025-08-05 17:15:15,2131905000.7273,-3993385.1332,1960189440.0000,1960189440.0000,0.2023,10000.0000,62917.5830,9.4479,3.2133,98.3741,-1.6461,136.6708,5.3468,0.4972,1.0978,88.6697,175.5520,0.5886,0.8906,0.5087
45,2025-08-05 17:15:16,2123012627.9111,-8892372.8162,1731748224.0000,1731748224.0000,0.1774,10000.0000,59738.5772,10.0380,3.0941,86.1938,3.7642,145.3635,3.7236,0.4922,0.9125,90.1631,178.7743,0.6603,0.9060,0.4966
46,2025-08-05 17:15:17,2109870625.3913,-13142002.5198,1518480512.0000,1518480512.0000,0.1520,10000.0000,56575.2923,9.3868,3.0522,98.5020,-2.4217,129.1235,4.3544,0.5032,1.1470,89.5806,180.9638,0.6994,0.9072,0.4913
