Model,Training Samples,Final Cost Loss,Final Relative Error,Final Accuracy < 1%,Final Accuracy < 5%,Final Accuracy < 10%,Mean Relative Error,Median Relative Error,Std Relative Error,R² Score,Convergence Stability
normal_hier_plant_surrogate_model.pt,"1,000",0.066245,0.0662,30.0%,50.0%,80.0%,0.0662,0.0526,0.0677,0.2235,0.015938
normal_plant_surrogate_model.pt,"1,000",0.051940,0.0519,20.0%,50.0%,80.0%,0.0519,0.0501,0.0400,0.4131,0.014021
