run #,datetime,avg_loss,avg_loss_change,loss,pred_cost,true_cost,rel_error,accuracy_5pct,accuracy_10pct,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12
1,2025-08-05 19:47:52,736898944.0000,0.0000,736898944.0000,103648.6562,76502.7760,0.3548,0.0,0.0,9.2733,3.1125,-83.7191,-1.8263,131.4444,7.2091,0.5113,1.0204,91.1411,183.5707,0.6315,0.9000,0.5186
2,2025-08-05 19:47:53,702900896.0000,-33998048.0000,668902848.0000,99708.8750,73845.7169,0.3502,0.0,0.0,8.9951,2.9065,-86.9126,-2.7353,131.9812,5.8887,0.5073,0.8970,88.3514,176.9307,0.7318,0.9053,0.5000
3,2025-08-05 19:47:55,794394026.6667,91493130.6667,977380288.0000,96703.5312,65440.4491,0.4777,0.0,0.0,9.1088,3.0252,-94.2009,10.1803,135.2154,4.3660,0.5201,0.9278,89.7694,184.7798,0.6698,0.9070,0.5189
4,2025-08-05 19:47:56,1160085696.0000,365691669.3333,2257160704.0000,105595.2344,58085.6502,0.8179,0.0,0.0,10.7205,2.9920,91.5380,0.2566,140.3279,5.5495,0.5177,0.8145,90.5794,182.8198,0.6871,0.9042,0.4984
5,2025-08-05 19:47:57,1118742233.6000,-41343462.4000,953368384.0000,94436.2656,63559.6013,0.4858,0.0,0.0,8.9664,3.0251,-89.0026,3.7822,124.2051,3.4982,0.5026,0.9720,89.2627,176.5123,0.7254,0.9052,0.5169
6,2025-08-05 19:47:59,1113073824.0000,-5668409.6000,1084731776.0000,100886.2344,67950.9651,0.4847,0.0,0.0,8.7035,2.9195,98.2451,6.3470,141.1771,5.9238,0.5092,1.1007,86.4636,180.3171,0.6774,0.8998,0.5165
7,2025-08-05 19:48:00,1242575021.7143,129501197.7143,2019582208.0000,102308.7969,57369.0335,0.7833,0.0,0.0,9.0280,3.0460,88.7570,5.1861,139.8664,4.5334,0.4982,1.0903,87.7207,179.1268,0.6801,0.9060,0.4957
8,2025-08-05 19:48:01,1393403992.0000,150828970.2857,2449206784.0000,102304.0781,52814.6154,0.9370,0.0,0.0,9.8280,2.9042,91.2694,-8.0047,136.0847,4.6359,0.5026,1.1857,87.3995,182.1052,0.7563,0.8932,0.4983
9,2025-08-05 19:48:03,1285082680.8889,-108321311.1111,418512192.0000,94404.0781,73946.5080,0.2767,0.0,0.0,10.6216,3.0077,-104.3045,0.2810,142.8304,6.2018,0.4982,0.9858,85.1601,182.8497,0.7416,0.9031,0.4799
10,2025-08-05 19:48:04,1206639420.8000,-78443260.0889,500650080.0000,90180.6172,67805.4096,0.3300,0.0,0.0,9.7509,2.9714,-97.1557,5.2169,130.9192,4.7991,0.5029,0.9914,88.1372,184.3320,0.7244,0.9228,0.4938
11,2025-08-05 19:48:05,1251971522.9091,45332102.1091,1705292544.0000,97792.5312,56497.3428,0.7309,0.0,0.0,9.4703,2.9851,94.3645,-7.3808,133.9149,5.1111,0.4981,1.1244,90.3450,179.5302,0.7117,0.9039,0.5018
